"dataset_name","id","author_id","conversation_id","text","source","retweet_count","reply_count","like_count","quote_count","in_reply_to_user_id"
"account - Alex__Lachance","1549239117334077442","2258234934","1549239117334077442","4th test","Twitter Web App","0","0","0","0",""
"account - Alex__Lachance","1549236547660251138","2258234934","1549236547660251138","3rd test","Twitter Web App","0","0","0","0",""
"account - Alex__Lachance","1549234100829028352","2258234934","1549234100829028352","Other test","Twitter Web App","0","0","0","0",""
"account - Alex__Lachance","1549230043527888897","2258234934","1549230043527888897","Test tweet","Twitter Web App","0","0","0","0",""
"account - Alex__Lachance","1384617448071172098","2258234934","1384617448071172098","RT @hasanthehun: @benshapiro almost like there's a difference between a murderer going free and not.","Twitter Web App","15576","0","0","0",""
"account - Alex__Lachance","1364289587628105732","2258234934","1364289587628105732","RT @SimoneGiertz: I’M TRYING TO GO TO SPACE &amp; you can help me get there!

If you retweet this video, I’ll print your name on a shirt and we…","Twitter Web App","50034","0","0","0",""
"account - Alex__Lachance","1343724366291496960","2258234934","1343724366291496960","RT @MSFSofficial: We're spreading the cheer with a holiday giveaway in partnership with Thrustmaster for the full TCA Quadrant Airbus Editi…","Twitter for iPhone","3911","0","0","0",""
"account - Alex__Lachance","1336823901045788675","2258234934","1336823901045788675","RT @NiPGaming: You have to reset steam. You are Welcome!","Twitter Web App","2","0","0","0",""
"account - Alex__Lachance","1305691931150819328","2258234934","1305691931150819328","RT @discord: maybe you've gotta remote learn this year, which it turns out is kind of hard if you don't have a setup!

so we're giving 1 wi…","Twitter Web App","105849","0","0","0",""
"account - Alex__Lachance","1303799668548272128","2258234934","1303788502463606784","@NVIDIAGeForce @ASUS_ROG 🦾🤖2️⃣0️⃣7️⃣7️⃣","Twitter for iPhone","0","0","0","0","86395621"
"account - Alex__Lachance","1301562038293069825","2258234934","1301557595002433537","@NVIDIAGeForce @TEAMEVGA #UltimatePlay","Twitter Web App","0","0","0","0","86395621"
